Date_Of_Stop,work_zone,vehicle_type,vehicle_year,vehicle_color,race,gender,driver_state,speed,speed_limit,speed_over,percentage_over_limit,hour_of_day
12/30/2017,No,02 - Automobile,2015,"BLUE, DARK",WHITE,F,MD,47,30,17,56.66667,8
12/30/2017,No,08 - Recreational Vehicle,2011,WHITE,WHITE,M,MD,49,30,19,63.33333,8
12/30/2017,No,08 - Recreational Vehicle,2011,WHITE,WHITE,M,MD,48,30,18,60,9
12/30/2017,No,02 - Automobile,2007,WHITE,WHITE,M,MD,48,30,18,60,9
12/30/2017,No,02 - Automobile,2006,BLACK,BLACK,M,MD,47,30,17,56.66667,10
12/30/2017,No,02 - Automobile,2006,BLACK,BLACK,M,MD,44,35,9,25.71429,10
12/30/2017,No,02 - Automobile,2006,BLACK,BLACK,M,MD,44,35,9,25.71429,11
12/30/2017,No,02 - Automobile,2015,RED,BLACK,M,MD,44,35,9,25.71429,11
12/30/2017,No,02 - Automobile,2015,RED,BLACK,M,MD,44,35,9,25.71429,12
12/30/2017,No,02 - Automobile,2015,RED,BLACK,M,MD,44,35,9,25.71429,12
12/30/2017,No,02 - Automobile,2015,RED,BLACK,M,MD,52,35,17,48.57143,12
12/30/2017,No,02 - Automobile,2015,RED,BLACK,M,MD,44,35,9,25.71429,12
12/30/2017,No,02 - Automobile,2015,RED,BLACK,M,MD,54,35,19,54.28571,7
12/30/2017,No,02 - Automobile,2015,RED,BLACK,M,MD,71,55,16,29.09091,7
12/30/2017,No,02 - Automobile,2015,RED,BLACK,M,MD,55,35,20,57.14286,8
12/30/2017,No,02 - Automobile,2015,RED,BLACK,M,MD,52,35,17,48.57143,9
12/30/2017,No,02 - Automobile,2015,RED,BLACK,M,MD,55,35,20,57.14286,10
12/30/2017,No,02 - Automobile,2015,RED,BLACK,M,MD,45,25,20,80,14
12/30/2017,No,02 - Automobile,2015,RED,BLACK,M,MD,40,25,15,60,14
12/30/2017,No,02 - Automobile,2015,RED,BLACK,M,MD,40,25,15,60,14
12/30/2017,No,02 - Automobile,2015,RED,BLACK,M,MD,48,25,23,92,14
12/30/2017,No,02 - Automobile,2015,RED,BLACK,M,MD,40,25,15,60,14
12/30/2017,No,02 - Automobile,2015,RED,BLACK,M,MD,40,25,15,60,15
12/30/2017,No,02 - Automobile,2015,RED,BLACK,M,MD,50,25,25,100,15
12/30/2017,No,02 - Automobile,2010,GRAY,WHITE,F,MD,42,25,17,68,15
12/30/2017,No,02 - Automobile,2010,GRAY,WHITE,F,MD,43,25,18,72,15
12/30/2017,No,02 - Automobile,2010,GRAY,WHITE,F,MD,43,25,18,72,15
12/30/2017,No,02 - Automobile,2010,GRAY,WHITE,F,MD,72,50,22,44,16
12/30/2017,No,02 - Automobile,2010,GRAY,WHITE,F,MD,53,30,23,76.66667,17
12/30/2017,No,02 - Automobile,2010,GRAY,WHITE,F,MD,44,35,9,25.71429,8
12/30/2017,No,02 - Automobile,2010,GRAY,WHITE,F,MD,61,35,26,74.28571,9
12/30/2017,No,02 - Automobile,2006,BLUE,WHITE,F,MD,68,50,18,36,19
12/30/2017,No,02 - Automobile,2006,BLUE,WHITE,F,MD,58,35,23,65.71429,8
12/30/2017,No,02 - Automobile,2006,BLUE,WHITE,F,MD,44,35,9,25.71429,8
12/30/2017,No,02 - Automobile,2006,BLUE,WHITE,F,MD,44,35,9,25.71429,9
12/30/2017,No,02 - Automobile,2006,BLUE,WHITE,F,MD,59,35,24,68.57143,9
12/30/2017,No,02 - Automobile,2006,BLUE,WHITE,F,MD,47,30,17,56.66667,13
12/30/2017,No,02 - Automobile,2001,BLUE,BLACK,M,MD,47,30,17,56.66667,13
12/30/2017,No,02 - Automobile,2001,BLUE,BLACK,M,MD,46,30,16,53.33333,14
12/30/2017,No,02 - Automobile,2016,GRAY,HISPANIC,M,MD,80,55,25,45.45455,23
12/30/2017,No,02 - Automobile,2016,GRAY,HISPANIC,M,MD,80,55,25,45.45455,23
12/30/2017,No,02 - Automobile,2016,GRAY,HISPANIC,M,MD,71,45,26,57.77778,1
12/30/2017,No,02 - Automobile,2016,GRAY,HISPANIC,M,MD,60,30,30,100,2
12/30/2017,No,02 - Automobile,2016,GRAY,BLACK,F,MD,64,55,9,16.36364,10
12/30/2017,No,02 - Automobile,2016,GRAY,BLACK,F,MD,44,35,9,25.71429,11
12/30/2017,No,02 - Automobile,2016,GRAY,BLACK,F,MD,64,55,9,16.36364,11
12/30/2017,No,02 - Automobile,2012,SILVER,BLACK,M,MD,68,45,23,51.11111,5
12/30/2017,No,02 - Automobile,2006,BLUE,HISPANIC,M,MD,44,35,9,25.71429,7
12/30/2017,No,02 - Automobile,2013,BLACK,HISPANIC,M,MD,44,35,9,25.71429,7
12/30/2017,No,02 - Automobile,2009,BLACK,OTHER,M,MD,44,35,9,25.71429,8
12/30/2017,No,02 - Automobile,2015,SILVER,WHITE,F,MD,44,35,9,25.71429,8
12/30/2017,No,02 - Automobile,2016,WHITE,OTHER,M,MD,52,35,17,48.57143,18
12/30/2017,No,02 - Automobile,2016,RED,HISPANIC,F,MD,44,35,9,25.71429,19
12/30/2017,No,02 - Automobile,2016,RED,HISPANIC,F,MD,54,35,19,54.28571,15
